All,全部
"You have no default billing address in your address book.",您的地址簿中没有默认的账单地址。
"Change Shipping Address",更改送货地址
"You have no default shipping address in your address book.","您的地址簿中没有默认的送货地址。
"
"Additional Address Entries",额外的地址条目
"Street Address %1","街道地址 %1"
"It's a default billing address.",它是默认的帐单地址。
"Use as my default billing address",使用作为我的默认帐单地址
"It's a default shipping address.",它是默认的送货地址。
"Use as my default shipping address",使用作为我的默认送货地址
"Go back",返回
"Please enter your email below and we will send you the confirmation link.",请在下面输入您的电子邮件，我们将发送确认链接。
"Send confirmation link",发送确认链接
"Back to Sign In",返回签到
"Change Email",更改电子邮件
"Change Email and Password",更改电子邮件和密码
"Current Password",当前密码
"Password Strength",密码安全等级
"No Password",无密码
"Confirm New Password",确认新密码
"Please enter your email address below to receive a password reset link.",请输入您的电子邮件地址来接收密码重置链接。
"Reset My Password",重置我的密码
"Registered Customers",客户加入日期
"If you have an account, sign in with your email address.",如果你有一个帐户，使用您的电子邮件地址登录。
"Subscription option",订阅选项
"General Subscription",一般的订阅
"Sign Up for Newsletter",订阅资讯
"Address Information",地址信息
"Sign-in Information",登录信息
"Confirm Password",确认密码
"Set a New Password",设置新的密码
"You have signed out and will go to our homepage in 5 seconds.","你已退出，在 5 秒钟后将转到我们的主页。"
"Creating an account has many benefits: check out faster, keep more than one address, track orders and more.","创建帐户有很多好处: 更快地查阅，保持多个地址，跟踪订单和更多。"
Fax,传真
"Welcome to %store_name",欢迎光临%store_name
"Welcome to %store_name.","欢迎来到 %store_name。"
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:","如果要登录到我们的网站，请使用这些凭据，在签出期间或在 <a href=""%customer_url""> 我的帐户</a> 页面:"
Email:,邮箱：
Password:,密码:
"Password you set when creating account",在创建帐户时设置的密码
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","忘记了您的帐户密码?点击 <a href=""%reset_url""> 这里</a> 重置它。"
"Proceed through checkout faster",更快地进行结帐
"Check the status of orders",检查订单的状态
"View past orders",查看过去的订单
"Store alternative addresses (for shipping to multiple family members and friends)","存储备用地址 (用于运送到多个家庭成员和朋友)"
"Please confirm your %store_name account","请确认您的 %store_name 帐户"
"You must confirm your %customer_email email before you can sign in (link is only valid once):","您必须确认您的 %customer_email 电子邮件之前您可以登录 (链接有效期只有一次):"
"Confirm Your Account",确认您的帐户
"Thank you for confirming your %store_name account.","谢谢你确认您的 %store_name 帐户。"
"To sign in to our site and set a password, click on the <a href=""%create_password_url"">link</a>:","要登录到我们的站点并设置密码，请单击 <a href=""%create_password_url""> 链接</a>:"
"Your %store_name email has been changed","您的 %store_name 电子邮件已被更改"
"We have received a request to change the following information associated with your account at %store_name: email.","我们收到的请求更改与您在 %store_name 的帐户关联的以下信息： 电子邮件。"
"If you have not authorized this action, please contact us immediately at <a href=""mailto:%store_email"">%store_email</a>","如果您没有授权此操作，请立即与我们联系% store_email"
"Your %store_name email and password has been changed","您的 %store_name 电子邮件和密码已更改"
"We have received a request to change the following information associated with your account at %store_name: email, password.","我们收到的请求更改与您在 %store_name 的帐户关联的以下信息： 电子邮件、 密码。"
"Reset your %store_name password","重置密码 %store_name"
"There was recently a request to change the password for your account.",最近有一个请求要更改您的帐户密码。
"If you requested this change, set a new password here:",如果您要求此更改，在这里设置一个新密码:
"If you did not make this request, you can ignore this email and your password will remain the same.",如果你并没有提出这一请求，您可以忽略这封电子邮件，您的密码将保持不变。
"Your %store_name password has been changed","你 %store_name 密码已更改"
"We have received a request to change the following information associated with your account at %store_name: password.","我们收到的请求更改与您在 %store_name 的帐户关联的以下信息： 密码。"
"Checkout as a new customer",作为新客户结帐
"Creating an account has many benefits:",创建帐户有很多好处:
"See order and shipping status",查看订单和发货状态
"Track order history",跟踪订单历史记录
"Check out faster",更快地查阅
"Checkout using your account",使用您已有的帐户结帐
"Are you sure you want to delete this address?",是否确实要删除此地址?
Weak,弱
Medium,介质
Strong,强
"Very Strong",很强
"All Customers",所有客户
"Now Online",当前在线
"Customers Section",客户部分
"Customer Configuration",客户配置
"Account Sharing Options",帐户共享选项
"Share Customer Accounts",共享客户帐户
"Create New Account Options",创建新帐户选项
"Enable Automatic Assignment to Customer Group",启用自动分配给客户组
"Tax Calculation Based On",税收计算基于
"Default Group",默认组
"Group for Valid VAT ID - Domestic","有效VAT ID - Domestic"
"Group for Valid VAT ID - Intra-Union","有效VAT  ID - Intra-Union"
"Group for Invalid VAT ID","组为无效VAT  ID 的"
"Validation Error Group",验证组时出错
"Validate on Each Transaction",验证每个交易记录
"Default Value for Disable Automatic Group Changes Based on VAT ID","禁用自动组更改基于VAT  ID 的默认值"
"Show VAT Number on Storefront","在店面上显示VAT 号码"
"To show VAT number on Storefront, set Show VAT Number on Storefront option to Yes.",若要在店面上显示增值税号码，店面选项为是设置显示增值税编号。
"Default Welcome Email",默认的欢迎电子邮件
"Default Welcome Email Without Password",默认没有密码的欢迎电子邮件
"Require Emails Confirmation",需要电子邮件确认
"Confirmation Link Email",确认链接的电子邮件
"Welcome Email",欢迎电子邮件
"Generate Human-Friendly Customer ID","生成人性化客户 ID"
"Password Options",密码选项
"Forgot Email Template",忘了电子邮件模板
"Remind Email Template",提醒电子邮件模板
"Reset Password Template",重置密码模板
"Password Template Email Sender",密码模板电子邮件发件人
"Number of Required Character Classes",所需的字符类的数目
"Number of different character classes required in password: Lowercase, Uppercase, Digits, Special Characters.",密码中需要的不同字符类数量:小写、大写、数字、特殊字符。
"Minimum Password Length",最小密码长度
"Maximum Login Failures to Lockout Account",最大登录失败到锁定帐户
"Use 0 to disable account locking.","使用 0 禁用帐户锁定。"
"Lockout Time (minutes)","锁定时间 (分钟)"
"Enable Autocomplete on login/forgot password forms",在忘记登录/密码形式上启用自动完成
"Account Information Options",帐户信息选项
"Change Email Template",更改电子邮件模板
"Change Email and Password Template",更改电子邮件和密码模板
"Name and Address Options",名称和地址选项
"Number of Lines in a Street Address",街道地址中的行数
"Show Prefix",显示前缀
"The title that goes before name (Mr., Mrs., etc.)","名字(Mr .，Mrs .，等等)的标题。"
"Prefix Dropdown Options",前缀下拉选项
"Show Middle Name (initial)","显示中间名 (初始)"
